Rank,Country,Internet Users (2016),Penetration (% of Pop),Population (2016),Non-Users (internetless),Users 1 Year Change (%),Internet Users 1 Year Change,Population 1 Year Change
68,Côte d'Ivoire,"5,122,897 ",22 % ,"23,254,184","18,131,287",14.3 %,"640,961",2.43 %
69,Finland,"5,107,402 ",92.5 % ,"5,523,904","416,502",0.4 %,"20,264",0.37 %
70,Nepal,"4,962,323 ",17.2 % ,"28,850,717","23,888,394",4.5 %,"212,870",1.18 %
71,Iraq,"4,892,463 ",13 % ,"37,547,686","32,655,223",7.5 %,"339,539",3.09 %
72,Serbia,"4,758,861 ",54 % ,"8,812,705","4,053,844",-0.1 %,"-6,757",-0.43 %
73,Singapore,"4,699,204 ",82.5 % ,"5,696,506","997,302",2 %,"90,352",1.66 %
74,Lebanon,"4,545,007 ",75.9 % ,"5,988,153","1,443,146",3.2 %,"139,538",2.35 %
75,Bolivia,"4,478,400 ",41.1 % ,"10,888,402","6,410,002",3.1 %,"136,733",1.53 %
76,Slovakia,"4,477,641 ",82.5 % ,"5,429,418","951,777",1 %,"44,010",0.06 %
77,Guatemala,"4,409,997 ",26.5 % ,"16,672,956","12,262,959",5.8 %,"240,223",2.02 %
78,Cameroon,"4,311,178 ",18 % ,"23,924,407","19,613,229",16.5 %,"609,593",2.49 %
79,Ethiopia,"4,288,023 ",4.2 % ,"101,853,268","97,565,245",13.4 %,"506,738",2.48 %
80,Bulgaria,"4,155,050 ",58.5 % ,"7,097,796","2,942,746",0.9 %,"36,650",-0.73 %
81,New Zealand,"4,078,993 ",89.4 % ,"4,565,185","486,192",2.2 %,"86,515",0.81 %
82,Ireland,"3,817,392 ",81 % ,"4,713,993","896,601",1 %,"39,443",0.54 %
83,Cuba,"3,696,765 ",32.4 % ,"11,392,889","7,696,124",4 %,"143,221",0.03 %
84,Senegal,"3,647,939 ",23.4 % ,"15,589,485","11,941,546",11.4 %,"373,533",3.04 %
85,Jordan,"3,536,871 ",45.7 % ,"7,747,800","4,210,929",3.2 %,"108,475",2.02 %
86,Zimbabwe,"3,356,223 ",21 % ,"15,966,810","12,610,587",4.1 %,"130,689",2.33 %
87,Oman,"3,310,260 ",71.1 % ,"4,654,471","1,344,211",4.1 %,"129,032",3.65 %
88,Kuwait,"3,202,110 ",79.9 % ,"4,007,146","805,036",3.4 %,"106,322",2.96 %
89,Zambia,"3,167,934 ",19 % ,"16,717,332","13,549,398",5.9 %,"176,335",3.12 %
90,Paraguay,"3,149,519 ",46.8 % ,"6,725,430","3,575,911",3.9 %,"118,664",1.3 %
91,Croatia,"3,133,485 ",74.2 % ,"4,225,001","1,091,516",3.6 %,"109,596",-0.36 %
92,DR Congo,"3,101,210 ",3.9 % ,"79,722,624","76,621,414",11 %,"306,376",3.18 %
93,Puerto Rico,"3,047,311 ",82.8 % ,"3,680,772","633,461",1.4 %,"43,368",-0.07 %
94,State of Palestine,"3,007,869 ",62.7 % ,"4,797,239","1,789,370",7.5 %,"210,457",2.76 %
95,Tanzania,"2,895,662 ",5.3 % ,"55,155,473","52,259,811",5.6 %,"153,394",3.15 %
96,Costa Rica,"2,738,500 ",56.4 % ,"4,857,218","2,118,718",5 %,"131,065",1.03 %
97,El Salvador,"2,352,849 ",38.3 % ,"6,146,419","3,793,570",7.8 %,"169,388",0.32 %
98,Bosnia and Herzegovina,"2,343,255 ",61.6 % ,"3,802,134","1,458,879",0.2 %,"4,531",-0.22 %
99,Afghanistan,"2,279,167 ",6.8 % ,"33,369,945","31,090,778",4.7 %,"101,366",2.59 %
100,Uruguay,"2,238,991 ",65 % ,"3,444,071","1,205,080",2.1 %,"45,565",0.36 %
101,Mali,"2,212,450 ",12.2 % ,"18,134,835","15,922,385",18.6 %,"346,882",3.04 %
102,Lithuania,"2,199,938 ",77.2 % ,"2,850,030","650,092",1.1 %,"22,897",-0.99 %
103,South Sudan,"2,179,963 ",17.1 % ,"12,733,427","10,553,464",5.5 %,"113,573",3.19 %
104,Qatar,"2,108,970 ",92 % ,"2,291,368","182,398",2.8 %,"57,708",2.51 %
105,Georgia,"2,104,906 ",52.9 % ,"3,979,781","1,874,875",1.9 %,"38,375",-0.5 %
106,Kyrgyzstan,"2,076,220 ",34.4 % ,"6,033,769","3,957,549",7.5 %,"144,035",1.58 %
107,Moldova,"1,946,111 ",47.9 % ,"4,062,862","2,116,751",0.7 %,"13,501",-0.15 %
108,Burkina Faso,"1,894,498 ",10.2 % ,"18,633,725","16,739,227",7 %,"124,498",2.92 %
109,Mozambique,"1,834,337 ",6.4 % ,"28,751,362","26,917,025",5 %,"87,863",2.76 %
110,Albania,"1,823,233 ",62.8 % ,"2,903,700","1,080,467",1.6 %,"28,435",0.24 %
111,Panama,"1,803,261 ",45.2 % ,"3,990,406","2,187,145",1.9 %,"32,996",1.56 %
112,Honduras,"1,757,467 ",21.5 % ,"8,189,501","6,432,034",5 %,"83,853",1.42 %
113,Cambodia,"1,756,824 ",11.1 % ,"15,827,241","14,070,417",7.9 %,"128,711",1.6 %
114,Tajikistan,"1,622,924 ",18.7 % ,"8,669,464","7,046,540",4.3 %,"67,230",2.21 %
115,Armenia,"1,510,906 ",49.9 % ,"3,026,048","1,515,142",2.6 %,"37,831",0.28 %
116,Latvia,"1,491,951 ",76.3 % ,"1,955,742","463,791",-0.5 %,"-6,764",-0.75 %
117,Slovenia,"1,490,358 ",72 % ,"2,069,362","579,004",0.4 %,"5,776",0.09 %
118,Rwanda,"1,478,216 ",12.4 % ,"11,882,766","10,404,550",7.3 %,"100,059",2.35 %
119,TFYR Macedonia,"1,439,089 ",69.2 % ,"2,081,012","641,923",0.9 %,"13,177",0.12 %
120,Myanmar,"1,353,649 ",2.5 % ,"54,363,426","53,009,777",6.1 %,"77,334",0.87 %
121,Libya,"1,335,705 ",21.1 % ,"6,330,159","4,994,454",9.9 %,"120,300",0.82 %
122,Haiti,"1,308,290 ",12.1 % ,"10,848,175","9,539,885",3 %,"38,263",1.28 %
123,Bahrain,"1,278,752 ",91.5 % ,"1,396,829","118,077",1.7 %,"21,707",1.42 %
124,Jamaica,"1,216,098 ",43.4 % ,"2,803,362","1,587,264",2.5 %,"29,091",0.36 %
125,Estonia,"1,196,521 ",91.4 % ,"1,309,104","112,583",2.2 %,"25,795",-0.26 %
126,Nicaragua,"1,194,337 ",19.4 % ,"6,150,035","4,955,698",4.1 %,"47,439",1.12 %
127,Malawi,"1,160,839 ",6.5 % ,"17,749,826","16,588,987",6.7 %,"72,531",3.11 %
128,Laos,"1,087,567 ",15.7 % ,"6,918,367","5,830,800",4.7 %,"48,892",1.71 %
129,Mongolia,"1,069,693 ",35.6 % ,"3,006,444","1,936,751",9.7 %,"94,869",1.6 %
130,Madagascar,"1,066,397 ",4.3 % ,"24,915,822","23,849,425",7.3 %,"72,746",2.81 %
131,Trinidad and Tobago,"942,713 ",69.1 % ,"1,364,973","422,260",3.4 %,"30,733",0.36 %
132,Papua New Guinea,"906,695 ",11.7 % ,"7,776,115","6,869,420",8.6 %,"71,835",2.06 %
133,Cyprus,"844,680 ",71.8 % ,"1,176,598","331,918",2 %,"16,897",0.97 %
134,Turkmenistan,"789,151 ",14.5 % ,"5,438,670","4,649,519",6.4 %,"47,737",1.21 %
135,Mauritania,"714,132 ",17.1 % ,"4,166,463","3,452,331",15.8 %,"97,605",2.43 %
136,Benin,"628,683 ",5.6 % ,"11,166,658","10,537,975",4.5 %,"27,184",2.64 %
137,Luxembourg,"548,807 ",95.2 % ,"576,243","27,436",1.9 %,"10,314",1.61 %
138,Togo,"545,020 ",7.3 % ,"7,496,833","6,951,813",10 %,"49,352",2.63 %
139,Mauritius,"543,048 ",42.5 % ,"1,277,459","734,411",1.1 %,"5,971",0.33 %
140,Botswana,"492,787 ",21.4 % ,"2,303,820","1,811,033",6.2 %,"28,978",1.83 %
141,Lesotho,"444,376 ",20.6 % ,"2,160,309","1,715,933",18.1 %,"68,128",1.18 %
142,Niger,"439,164 ",2.1 % ,"20,715,285","20,276,121",6.7 %,"27,514",4.1 %
143,Macao,"433,752 ",72.6 % ,"597,126","163,374",2.9 %,"12,069",1.62 %
144,Fiji,"419,958 ",46.8 % ,"897,537","477,579",4 %,"16,237",0.6 %
145,Liberia,"395,063 ",8.6 % ,"4,615,222","4,220,159",15.5 %,"53,123",2.48 %
146,Namibia,"392,181 ",15.6 % ,"2,513,981","2,121,800",3.8 %,"14,345",2.24 %
147,Montenegro,"388,057 ",62 % ,"626,101","238,044",0.9 %,"3,277",0.05 %
148,Chad,"387,063 ",2.7 % ,"14,496,739","14,109,676",5.5 %,"20,083",3.27 %
149,Swaziland,"362,921 ",27.8 % ,"1,304,063","941,142",2.2 %,"7,667",1.33 %
150,Congo,"357,471 ",7.5 % ,"4,740,992","4,383,521",4.4 %,"15,060",2.61 %
151,Gambia,"346,471 ",16.9 % ,"2,054,986","1,708,515",5.7 %,"18,830",3.22 %
152,Malta,"334,056 ",79.6 % ,"419,615","85,559",2.8 %,"9,058",0.23 %
153,Bahamas,"333,143 ",84.8 % ,"392,718","59,575",4.2 %,"13,419",1.21 %
154,Iceland,"331,778 ",100 % ,"331,778",0,0.9 %,"2,975",0.71 %
155,Brunei ,"310,205 ",72.3 % ,"428,874","118,669",2.9 %,"8,748",1.34 %
156,Guyana,"305,007 ",39.6 % ,"770,610","465,603",2.2 %,"6,666",0.46 %
157,Bhutan,"289,177 ",36.9 % ,"784,103","494,926",3.4 %,"9,408",1.2 %
158,Guinea,"236,932 ",1.8 % ,"12,947,122","12,710,190",4.7 %,"10,688",2.68 %
159,Suriname,"231,420 ",42.3 % ,"547,610","316,190",2.5 %,"5,601",0.85 %
160,Barbados,"228,717 ",80.3 % ,"285,006","56,289",1.7 %,"3,761",0.28 %
161,Central African Republic,"224,432 ",4.5 % ,"4,998,493","4,774,061",5.3 %,"11,270",2 %
162,Cabo Verde,"224,183 ",42.5 % ,"526,993","302,810",2.9 %,"6,420",1.25 %
163,Maldives,"198,071 ",53.6 % ,"369,812","171,741",4.3 %,"8,076",1.69 %
164,Somalia,"192,775 ",1.7 % ,"11,079,013","10,886,238",4.6 %,"8,519",2.71 %
165,New Caledonia,"186,502 ",70 % ,"266,431","79,929",1.3 %,"2,319",1.26 %
166,French Polynesia,"182,442 ",63.9 % ,"285,735","103,293",2.6 %,"4,661",1.05 %
167,Gabon,"182,309 ",10.3 % ,"1,763,142","1,580,833",3.9 %,"6,780",2.19 %
168,Equatorial Guinea,"181,657 ",20.9 % ,"869,587","687,930",6.1 %,"10,384",2.9 %
169,Burundi,"167,512 ",1.5 % ,"11,552,561","11,385,049",5.1 %,"8,133",3.34 %
170,Belize,"165,014 ",45 % ,"366,942","201,928",6.7 %,"10,366",2.13 %
171,Sierra Leone,"160,188 ",2.4 % ,"6,592,102","6,431,914",6.6 %,"9,921",2.15 %
172,Guam,"124,717 ",72.5 % ,"172,094","47,377",2.7 %,"3,276",1.3 %
173,Saint Lucia,"109,370 ",58.7 % ,"186,383","77,013",5 %,"5,189",0.75 %
174,Djibouti,"105,163 ",11.7 % ,"899,598","794,435",4 %,"4,050",1.32 %
175,Aruba,"91,532 ",87.8 % ,"104,263","12,731",1.8 %,"1,609",0.36 %
176,Vanuatu,"82,764 ",30.6 % ,"270,470","187,706",16 %,"11,386",2.2 %
177,Andorra,"66,728 ",96.5 % ,"69,165","2,437",-1.6 %,"-1,059",-1.86 %
178,Guinea-Bissau,"66,284 ",3.5 % ,"1,888,429","1,822,145",4.1 %,"2,586",2.39 %
179,St. Vincent & Grenadines,"65,984 ",60.2 % ,"109,644","43,660",2.1 %,"1,357",0.17 %
180,Antigua and Barbuda,"60,306 ",65 % ,"92,738","32,432",1.8 %,"1,072",1 %
181,Bermuda,"60,047 ",97.4 % ,"61,662","1,615",-0.3 %,-152,-0.55 %
182,Comoros,"59,242 ",7.3 % ,"807,118","747,876",3.9 %,"2,246",2.36 %
183,Solomon Islands,"58,423 ",9.8 % ,"594,934","536,511",4.6 %,"2,573",1.94 %
184,United States Virgin Islands,"57,485 ",54 % ,"106,415","48,930",2.4 %,"1,357",0.12 %
185,Eritrea,"56,728 ",1.1 % ,"5,351,680","5,294,952",4.8 %,"2,583",2.37 %
186,Samoa,"56,373 ",29 % ,"194,523","138,150",9.7 %,"5,004",0.67 %
187,Seychelles,"56,168 ",57.9 % ,"97,026","40,858",2.6 %,"1,400",0.58 %
188,Tonga,"49,822 ",46.6 % ,"106,915","57,093",5.3 %,"2,501",0.7 %
189,Sao Tome and Principe,"49,686 ",25.6 % ,"194,390","144,704",3.6 %,"1,709",2.13 %
190,Dominica,"48,249 ",66.1 % ,"73,016","24,767",2 %,944,0.46 %
191,Faeroe Islands,"47,515 ",98.5 % ,"48,239",724,1.3 %,608,0.08 %
192,Cayman Islands,"45,038 ",74.1 % ,"60,764","15,726",1.3 %,594,1.33 %
193,Grenada,"41,675 ",38.8 % ,"107,327","65,652",1.6 %,670,0.47 %
194,Greenland,"37,899 ",67.4 % ,"56,196","18,297",0.4 %,135,0.02 %
195,Saint Kitts and Nevis,"37,210 ",66.2 % ,"56,183","18,973",1.5 %,548,1.1 %
196,Liechtenstein,"36,183 ",95.8 % ,"37,776","1,593",1 %,342,0.65 %
197,Monaco,"35,196 ",93 % ,"37,863","2,667",0.7 %,228,0.35 %
198,Micronesia,"32,749 ",31.2 % ,"104,966","72,217",2.1 %,658,0.48 %
199,Kiribati,"14,724 ",12.9 % ,"114,405","99,681",3.3 %,472,1.76 %
200,Timor-Leste,"14,030 ",1.2 % ,"1,211,245","1,197,215",3.1 %,416,2.24 %
201,Marshall Islands,"10,709 ",20.2 % ,"53,069","42,360",5.6 %,565,0.14 %
