,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
21,Frank,2014,R,05 Sep 2014,95 min,"Comedy, Drama, Music",Lenny Abrahamson,"Jon Ronson, Peter Straughan, Jon Ronson (newspaper article)","Domhnall Gleeson, Moira Brooker, Paul Butterworth, Phil Kingston","Jon, a young wanna-be musician, discovers he's bitten off more than he can chew when he joins an eccentric pop band led by the mysterious and enigmatic Frank.","English, French, German","UK, Ireland",13 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BMjM0OTczMTcxOV5BMl5BanBnXkFtZTgwMDU1MDUwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.0,"69,169",tt1605717,movie,09 Dec 2014,N/A,Magnolia Pictures,http://www.magpictures.com/frank/,True
22,Freezer,2014,R,19 Jun 2014,83 min,"Action, Thriller",Mikael Salomon,"Tom Doganoglu, Shane Weisfeld","Dylan McDermott, Yuliya Snigir, Peter Facinelli, Andrey Ivchenko","Robert is an ordinary man who is faced with extraordinary circumstances. He is locked in a meat freezer by Russian thugs who believe that he owes them 8 million dollars. Robert, who is in ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTgxMzY4MDA4M15BMl5BanBnXkFtZTgwNzE4MzU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,5.2,"3,051",tt2325002,movie,21 Jan 2014,N/A,Anchor Bay Entertainment,http://envisionma.com/feature-films/,True
23,The Guest,2014,R,05 Sep 2014,100 min,"Mystery, Thriller",Adam Wingard,Simon Barrett,"Dan Stevens, Maika Monroe, Brendan Meyer, Sheila Kelley","A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence.",English,"USA, UK",4 wins & 13 nominations.,https://m.media-amazon.com/images/M/MV5BOTQyODc5MTAwM15BMl5BanBnXkFtZTgwNjMwMjA1MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,6.7,"80,787",tt2980592,movie,06 Jan 2015,"$642,285",Picturehouse Films,http://theguestmovie.com/,True
24,Hellion,2014,R,13 Jun 2014,99 min,"Drama, Thriller",Kat Candler,Kat Candler,"Aaron Paul, Juliette Lewis, Josh Wiggins, Deke Garner","When motocross and heavy metal obsessed thirteen-year-old Jacob's increasing delinquent behavior forces CPS to place his little brother, Wes, with his aunt, Jacob and his emotionally absent...",English,USA,3 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTUwOTk5MzQ2Nl5BMl5BanBnXkFtZTgwMDg5NDM4MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.1,"5,030",tt3186318,movie,30 Sep 2014,"$46,110",IFC Films,http://www.ifcfilms.com/films/hellion,True
25,Kidnapped for Christ,2014,N/A,10 Jul 2014,85 min,"Documentary, Drama, News, Thriller",Kate Logan,"Kate Logan, Yada Zamora","David Wernsman, Tai Mathieu, Kate Logan, Dan Anderson","A young evangelical filmmaker is granted unprecedented access inside a controversial Christian behavior modification program for teens, where she discovers shocking secrets and young ...",English,"USA, Dominican Republic",3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BOTA5NTcwMDkxOV5BMl5BanBnXkFtZTgwNTkzNDkxMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,901,tt2388558,movie,N/A,N/A,Red Thorn Productions,http://www.kidnappedforchrist.com/,True
26,Laggies,2014,R,24 Oct 2014,99 min,"Comedy, Drama, Romance",Lynn Shelton,Andrea Seigel,"Rocki DuCharme, Sara Lynne Wright, Larissa Schmitz, Phillip Abraham","In the throes of a quarter-life crisis, Megan panics when her boyfriend proposes, then, taking an opportunity to escape for a week, hides out in the home of her new friend, 16-year-old Annika, who lives with her world-weary single dad.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTY5NjU0MTQwMl5BMl5BanBnXkFtZTgwMjYxMTU0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.4,"38,364",tt2034031,movie,10 Feb 2015,N/A,A24 Films,http://laggiesthemovie.tumblr.com/,True
27,"Big Mommas: Like Father, Like Son",2011,PG-13,18 Feb 2011,107 min,"Action, Comedy, Crime",John Whitesell,"Matthew Fogel (screenplay), Don Rhymer (story), Matthew Fogel (story), Darryl Quarles (characters)","Martin Lawrence, Brandon T. Jackson, Jessica Lucas, Michelle Ang",Malcolm Turner and his stepson Trent go undercover at an all-girls school to flush out a killer.,English,USA,4 nominations.,https://m.media-amazon.com/images/M/MV5BMzU2MTk5NzkzNV5BMl5BanBnXkFtZTcwMjU5MzgwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '5%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",22,4.4,"23,169",tt1464174,movie,14 Jun 2011,"$37,911,876",20th Century Fox,http://www.bigmommaslikefatherlikeson.com/,True
28,Obvious Child,2014,R,29 Aug 2014,84 min,"Comedy, Drama, Romance",Gillian Robespierre,"Gillian Robespierre (screenplay by), Karen Maine (story), Gillian Robespierre (story), Elisabeth Holm (story), Anna Bean (based on the short film written by), Karen Maine (based on the short film written by), Gillian Robespierre (based on the short film written by), Harold Manning (french adaptation)","Jenny Slate, Paul Briganti, Gaby Hoffmann, Stephen Singer",A twenty-something comedienne's unplanned pregnancy forces her to confront the realities of independent womanhood for the first time.,English,USA,10 wins & 29 nominations.,https://m.media-amazon.com/images/M/MV5BMTg0MDU4NjI1OV5BMl5BanBnXkFtZTgwOTY3NDc3MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,6.8,"21,079",tt2910274,movie,07 Oct 2014,N/A,A24 Films,http://www.facebook.com/ObviousChild,True
29,Ride Along,2014,PG-13,17 Jan 2014,99 min,"Action, Comedy, Crime",Tim Story,"Greg Coolidge (screenplay), Jason Mantzoukas (screenplay), Phil Hay (screenplay), Matt Manfredi (screenplay), Greg Coolidge (story)","Ice Cube, Kevin Hart, John Leguizamo, Bruce McGill","Security guard Ben must prove himself to his girlfriend's brother, top police officer James. He rides along James on a 24-hour patrol of Atlanta.","English, Ukrainian",USA,1 win & 7 nominations.,https://m.media-amazon.com/images/M/MV5BNjU4NzYzOTY1MF5BMl5BanBnXkFtZTgwMTAyNTc1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,6.2,"93,012",tt1408253,movie,15 Apr 2014,"$110,374,905",Universal Pictures,http://www.ridealong.net/,True
30,Summer in February,2013,NOT RATED,17 Jan 2014,100 min,"Biography, Drama, Romance",Christopher Menaul,Jonathan Smith,"Dominic Cooper, Dan Stevens, Jane Cussons, Daphne Neville","A true tale of love, liberty and scandal amongst the Edwardian artists' colony in Cornwall",English,UK,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMjMwODI0NDAyNF5BMl5BanBnXkFtZTgwMTI1NDM5MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",22,5.7,"3,495",tt2184287,movie,12 Aug 2014,N/A,Tribeca Film,http://www.summerinfebruary.com/,True
31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
33,The Better Angels,2014,PG,07 Nov 2014,95 min,"Biography, Drama, History",A.J. Edwards,A.J. Edwards,"Jason Clarke, Diane Kruger, Brit Marling, Wes Bentley","The story of Abraham Lincoln's childhood in the harsh wilderness of Indiana and the hardships that shaped him, the tragedy that marked him for ever and the two women who guided him to immortality.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjEyOTI0OTg3N15BMl5BanBnXkFtZTgwNjk5NTExMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.1,"1,190",tt2316868,movie,03 Mar 2015,N/A,Amplify,http://www.betterangelsfilm.com,True
34,The Case Against 8,2014,TV-14,01 Dec 2014,109 min,"Documentary, Biography, News","Ben Cotner, Ryan White","Ben Cotner (story), Ryan White (story)","Ted Olson, Christopher D. Dusseault, Jeffrey J. Zarrillo, Paul T. Katami","A behind-the-scenes look inside the case to overturn California's ban on same-sex marriage. Shot over five years, the film follows the unlikely team that took the first federal marriage equality lawsuit to the U.S. Supreme Court.",English,USA,Nominated for 2 Primetime Emmys. Another 11 wins & 14 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzMzYwNzM2NDheQTJeQWpwZ15BbWU4MDQzNDAxMDEx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,7.4,944,tt2107850,movie,N/A,N/A,HBO Documentary Films,http://www.thecaseagainst8.com,True
