,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
11,Detour,1945,Not Rated,01 Oct 1946,68 min,"Crime, Drama, Film-Noir",Edgar G. Ulmer,"Martin Goldsmith (screenplay), Martin Goldsmith (original story)","Tom Neal, Ann Savage, Claudia Drake, Edmund MacDonald",Chance events trap hitch-hiker Al Roberts in a tightening net of film noir trouble.,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BYTVhNTU2YzMtOTVjNy00YzhhLTk5OWItMjU4ZGMyNDQ4ZDIwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.4,"11,969",tt0037638,movie,26 Sep 2000,N/A,Film Chest,http://filmchestmediagroup.com/,True
12,The Red Turtle,2016,PG,20 Jan 2017,80 min,"Animation, Fantasy",Michael Dudok de Wit,"Michael Dudok de Wit (story), Pascale Ferran (screenplay), Michael Dudok de Wit (screenplay)","Emmanuel Garijo, Tom Hudson, Baptiste Goy, Axel Devillers","A man is shipwrecked on a deserted island and encounters a red turtle, which changes his life.",None,"France, Belgium, Japan, Poland, Netherlands, Hungary, UK, Germany, China, Thailand, Italy, Denmark, USA",Nominated for 1 Oscar. Another 11 wins & 32 nominations.,https://m.media-amazon.com/images/M/MV5BODU3MjIxZWMtODFjYy00ZTI5LThmMzctMTMzZWFlOTIzNTc2L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,7.5,"24,030",tt3666024,movie,02 May 2017,"$920,057",Studio Ghibli,http://sonyclassics.com/theredturtle/,True
13,The Resurrection of Gavin Stone,2016,PG,20 Jan 2017,91 min,"Comedy, Drama, Family, Romance",Dallas Jenkins,Andrea Gyertson Nasfell,"Brett Dalton, Anjelah Johnson-Reyes, Neil Flynn, D.B. Sweeney","A washed-up former child star, forced to do community service at a local megachurch, pretends to be a Christian to land the part of Jesus in their annual Passion Play, only to discover that the most important role of his life is far from Hollywood.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTUxNDY4OTcxMV5BMl5BanBnXkFtZTgwNTIwNzczMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,6.2,"1,513",tt4902904,movie,N/A,N/A,N/A,N/A,True
14,Split,2016,PG-13,20 Jan 2017,117 min,"Horror, Thriller",M. Night Shyamalan,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,English,"USA, Japan",8 wins & 19 nominations.,https://m.media-amazon.com/images/M/MV5BZTJiNGM2NjItNDRiYy00ZjY0LTgwNTItZDBmZGRlODQ4YThkL2ltYWdlXkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.3,"330,957",tt4972582,movie,18 Apr 2017,"$138,120,085",Universal Pictures,http://www.splitmovie.com/,True
15,Trespass Against Us,2016,R,24 Nov 2016,99 min,"Action, Crime, Drama, Thriller",Adam Smith,Alastair Siddons,"Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Georgie Smith",A man looks to find a way to escape the criminal ways of his outlaw family.,English,UK,5 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ5Njk4OTgzNV5BMl5BanBnXkFtZTgwMDc0OTAxMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,5.8,"6,416",tt3305308,movie,07 Mar 2017,N/A,A24 and DIRECTV,http://a24films.com/films/trespass-against-us/,True
16,xXx: Return of Xander Cage,2017,PG-13,20 Jan 2017,107 min,"Action, Adventure, Thriller",D.J. Caruso,"Rich Wilkes (based on characters created by), F. Scott Frazier","Vin Diesel, Donnie Yen, Deepika Padukone, Kris Wu","Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.","English, Spanish, Portuguese, Mandarin, Tagalog, Russian","China, Canada, USA",1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMzcwMjkxMzQ3NV5BMl5BanBnXkFtZTgwMzgyNDA5MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,5.2,"76,151",tt1293847,movie,16 May 2017,"$44,850,317",Paramount Pictures,http://www.returnofxandercage.com/,True
17,Get Out,2017,R,24 Feb 2017,104 min,"Horror, Mystery, Thriller",Jordan Peele,Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",English,"Japan, USA",Won 1 Oscar. Another 122 wins & 181 nominations.,https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.7,"367,135",tt5052448,movie,23 May 2017,"$175,428,355",Universal Pictures,http://www.getoutfilm.com/,True
18,Sophie and the Rising Sun,2016,R,22 Jan 2016,105 min,Drama,Maggie Greenwald,"Maggie Greenwald (screenplay), Augusta Trobaugh (novel)","Julianne Nicholson, Takashi Yamaguchi, Margo Martindale, Diane Ladd","Autumn of 1941 in Salty Creek, a fishing village in South Carolina, two interracial lovers are swept up in the tides of history.",English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BMjI0NzAxNTQyMl5BMl5BanBnXkFtZTgwODQzMTIwMTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.5,911,tt4532818,movie,21 Feb 2017,"$30,348",Monterey Media,https://www.montereymedia.com/sophieandtherisingsun/,True
19,A Dog's Purpose,2017,PG,27 Jan 2017,100 min,"Adventure, Comedy, Drama, Family, Fantasy",Lasse Hallström,"W. Bruce Cameron (screenplay by), Cathryn Michon (screenplay by), Audrey Wells (screenplay by), Maya Forbes (screenplay by), Wallace Wolodarsky (screenplay), W. Bruce Cameron (based on the novel by)","Josh Gad, Dennis Quaid, Peggy Lipton, Bryce Gheisar",A dog looks to discover his purpose in life over the course of several lifetimes and owners.,English,"USA, India",3 nominations.,https://m.media-amazon.com/images/M/MV5BNDQ4NjkxNzgzN15BMl5BanBnXkFtZTgwMjAzODQ4OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,7.0,"50,488",tt1753383,movie,02 May 2017,"$64,304,940",Amblin Entertainment,http://www.adogspurposemovie.com/,True
20,I Am Michael,2015,Not Rated,27 Jan 2017,98 min,"Biography, Drama, Romance",Justin Kelly,"Justin Kelly, Stacey Miller (based on an article by), Benoit Denizet Lewis (based on the magazine article ""My Ex-Gay Friend"" by)","James Franco, Zachary Quinto, Emma Roberts, Charlie Carver","Based on the fascinating true-life story of Michael Glatze, a gay activist who becomes a Christian pastor after identifying as a heterosexual.",English,USA,8 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMjAxNjI1NDc1Nl5BMl5BanBnXkFtZTgwMzQ1NTQwMTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,5.7,"4,026",tt3713030,movie,07 Mar 2017,N/A,Brainstorm Media,N/A,True
21,iBoy,2017,N/A,27 Jan 2017,90 min,"Action, Crime, Sci-Fi, Thriller",Adam Randall,"Joe Barton (screenplay), Joe Barton, Kevin Brooks (based on the novel by), Mark Denton, Jonny Stockwood","Bill Milner, Maisie Williams, Miranda Richardson, Rory Kinnear","After being shot, Tom wakes from a coma to discover that fragments of his smart phone have been embedded in his head, and worse, that returning to normal teenage life is impossible because he has developed a strange set of superpowers.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BNjQxODM2MDAyM15BMl5BanBnXkFtZTgwODc4MTE0MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.0,"15,769",tt3171832,movie,27 Jan 2017,N/A,Netflix,N/A,True
22,Lost in Florence,2017,NOT RATED,27 Jan 2017,97 min,"Adventure, Drama, Romance",Evan Oppenheimer,"Evan Oppenheimer, Evan Oppenheimer","Brett Dalton, Stana Katic, Alessandra Mastronardi, Alessandro Preziosi",A heartbroken American in Florence gets involved in a dangerous local sport -- and with an alluring local woman.,English,"Italy, USA",N/A,https://m.media-amazon.com/images/M/MV5BY2M1ZjFmYTUtMjdmYS00YTRlLTg4NjctNTg1NmU0ZGYxMTdhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjY0NzEzMTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28,5.1,587,tt3809276,movie,N/A,N/A,Black Sand Pictures,http://www.lostinflorencemovie.com/,True
23,Resident Evil: The Final Chapter,2016,R,27 Jan 2017,107 min,"Action, Horror, Sci-Fi, Thriller",Paul W.S. Anderson,Paul W.S. Anderson,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts","Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",English,"USA, Germany, France, Canada, South Africa, Australia, UK, Japan",1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTc0Mzc2OTQ0Ml5BMl5BanBnXkFtZTgwOTQ5MjE4MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,5.6,"72,594",tt2592614,movie,16 May 2017,"$26,844,692",Sony Pictures,http://www.sonypictures.com/movies/residentevilthefinalchapter/,True
24,Wheels,2014,R,01 Feb 2017,115 min,Drama,"Tim Gagliardo(co-director), Donavon Warren(co-director)",Donavon Warren,"Donavon Warren, Patrick Hume, Diana Gettinger, Kevin McCorkle",Two suicidal paraplegic junkies hustle their way through the city streets trying to find a reason to live.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYmExM2M4OTctOTlkZi00MTFmLWI3OTctYjVmMDdmZDQ4ODIzXkEyXkFqcGdeQXVyMjYzOTAyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.3/10'}]",N/A,9.3,"17,233",tt2170667,movie,N/A,N/A,Loaded Dice Films,http://www.wheelsthemovie.com/,True
25,Don't Knock Twice,2016,R,03 Feb 2017,93 min,Horror,Caradog W. James,"Mark Huckerby, Nick Ostler","Katee Sackhoff, Lucy Boynton, Richard Mylan, Nick Moran",A mother desperate to reconnect with her troubled daughter becomes embroiled in the urban legend of a demonic witch.,English,UK,1 nomination.,https://m.media-amazon.com/images/M/MV5BZmFkNzQyNzAtNmUzYi00MWUxLTkxZTAtOGMzMjFkMzMzMTVmXkEyXkFqcGdeQXVyMTg2MzQ2NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,5.1,"10,201",tt3622110,movie,01 Aug 2017,N/A,Red &amp; Black Films,http://dontknocktwice.com/,True
26,Growing Up Smith,2015,PG-13,03 Feb 2017,102 min,"Comedy, Drama, Family",Frank Lotito,"Anjul Nigam, Paul Quinn, Gregory Scott Houghton, Anjul Nigam (screenplay)","Jason Lee, Anjul Nigam, Brighton Sharbino, Hilarie Burton","In 1979, an Indian family moves to America with hopes of living the American Dream. While their 10-year-old boy Smith falls head-over-heels for the girl next door, his desire to become a ""good old boy"" propels him further away from his family's ideals than ever before.",English,USA,5 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BOWI0MmZmN2MtMzczMy00Y2NlLWE2MzgtMWM0YTlmY2Y5MTczXkEyXkFqcGdeQXVyMDExMDMxOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}]",N/A,6.8,821,tt1105355,movie,13 Jun 2017,"$14,867",Good Deed Entertainment,http://www.growingupsmithmovie.com,True
27,I Am Not Your Negro,2016,PG-13,17 Feb 2017,93 min,Documentary,Raoul Peck,"James Baldwin (writings), Raoul Peck (scenario)","Samuel L. Jackson, James Baldwin, Martin Luther King, Malcolm X","Writer James Baldwin tells the story of race in modern America with his unfinished novel, Remember This House.","English, French","Switzerland, France, Belgium, USA",Nominated for 1 Oscar. Another 25 wins & 45 nominations.,https://m.media-amazon.com/images/M/MV5BZWIzYTIxYWYtMzk0MC00ODFlLTljZjItN2MzYmNhMjRlOTRjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",95,7.8,"13,265",tt5804038,movie,02 May 2017,"$7,120,626",Magnolia Pictures,http://www.iamnotyournegrofilm.com/,True
28,Rings,2017,PG-13,03 Feb 2017,102 min,"Drama, Horror, Romance",F. Javier Gutiérrez,"David Loucka (screenplay by), Jacob Estes (screenplay by), Akiva Goldsman (screenplay by), David Loucka (story by), Jacob Estes (story by), Kôji Suzuki (based on the novel ""The Ring"" by)","Matilda Anna Ingrid Lutz, Alex Roe, Johnny Galecki, Vincent D'Onofrio",A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.,English,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BNjU1NDAxNTg0MF5BMl5BanBnXkFtZTgwNzUxMjEwMTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25,4.5,"33,125",tt0498381,movie,02 May 2017,"$27,766,716",Paramount Pictures,http://www.ringsmovie.com/,True
29,The Space Between Us,2017,PG-13,03 Feb 2017,120 min,"Adventure, Drama, Romance, Sci-Fi",Peter Chelsom,"Allan Loeb (screenplay by), Stewart Schill (story by), Richard Barton Lewis (story by), Allan Loeb (story by)","Gary Oldman, Janet Montgomery, Trey Tucker, Scott Takeda","The first human born on Mars travels to Earth for the first time, experiencing the wonders of the planet through fresh eyes. He embarks on an adventure with a street smart girl to discover how he came to be.",English,USA,4 nominations.,https://m.media-amazon.com/images/M/MV5BNjYzODU1OTkwN15BMl5BanBnXkFtZTgwMDA3MTMwMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,6.4,"39,599",tt3922818,movie,16 May 2017,"$7,829,766",STX Entertainment,http://stxmovies.com/thespacebetweenus/,True
30,War on Everyone,2016,R,03 Feb 2017,98 min,"Action, Comedy",John Michael McDonagh,John Michael McDonagh,"Alexander Skarsgård, Michael Peña, Theo James, Tessa Thompson","Two corrupt cops set out to blackmail and frame every criminal unfortunate enough to cross their path. Events, however, are complicated by the arrival of someone who appears to be even more dangerous than they are.","English, Spanish",UK,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNTU2MjAxMjk3Nl5BMl5BanBnXkFtZTgwMjM5NzI5MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,5.8,"15,045",tt3708886,movie,11 Apr 2017,"$187,564",Saban Films,https://www.facebook.com/waroneveryone/,True
31,Youth in Oregon,2016,N/A,03 Feb 2017,105 min,"Comedy, Drama",Joel David Moore,Andrew Eisen,"Frank Langella, Billy Crudup, Christina Applegate, Mary Kay Place","A man is tasked with driving his embittered 80-year-old father-in-law cross country to be legally euthanized in Oregon, while along the way helping him rediscover a reason for living.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjQyMjYyNjUzNl5BMl5BanBnXkFtZTgwNjI0ODAxMTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,5.6,964,tt3687316,movie,04 Apr 2017,N/A,Samuel Goldwyn Films,http://www.samuelgoldwynfilms.com/youth-in-oregon/,True
