,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
10,Spare Parts,2015,PG-13,05 Jun 2015,114 min,Drama,Sean McNamara,"Joshua Davis (based on the Wired Magazine article ""La Vida Robot"" by), Elissa Matsueda (screenplay)","George Lopez, Marisa Tomei, Jamie Lee Curtis, Carlos PenaVega","Four Hispanic high school students form a robotics club. With no experience, 800 bucks, used car parts and a dream, this rag tag team goes up against the country's reigning robotics champion, MIT.","English, Spanish",USA,2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTc5NzI4NTIyMF5BMl5BanBnXkFtZTgwMzIzNDMxMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,7.3,"9,565",tt3233418,movie,05 May 2015,N/A,Pantelion Films,http://www.facebook.com/SparePartsMovie,True
11,Still Alice,2014,PG-13,20 Feb 2015,101 min,Drama,"Richard Glatzer, Wash Westmoreland","Richard Glatzer (written for the screen by), Wash Westmoreland (written for the screen by), Lisa Genova (novel)","Julianne Moore, Kate Bosworth, Shane McRae, Hunter Parrish",A linguistics professor and her family find their bonds tested when she is diagnosed with Alzheimer's Disease.,English,"USA, UK, France",Won 1 Oscar. Another 30 wins & 32 nominations.,https://m.media-amazon.com/images/M/MV5BMjIzNzAxNjY1Nl5BMl5BanBnXkFtZTgwMDg4ODQxMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.5,"114,525",tt3316960,movie,12 May 2015,N/A,Sony Pictures Classics,http://sonyclassics.com/stillalice/,True
12,The Wedding Ringer,2015,R,16 Jan 2015,101 min,Comedy,Jeremy Garelick,"Jeremy Garelick, Jay Lavender","Kevin Hart, Josh Gad, Affion Crockett, Kaley Cuoco","Two weeks shy of his wedding, a socially awkward guy enters into a charade by hiring the owner of a company that provides best men for grooms in need.","English, Ukrainian",USA,2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTk3MjQyNTUxNl5BMl5BanBnXkFtZTgwNjM3Mjk1MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,6.7,"65,996",tt0884732,movie,28 Apr 2015,N/A,Sony Screen Gems,http://https://www.facebook.com/WeddingRinger,True
13,Ex Machina,2014,R,24 Apr 2015,108 min,"Drama, Mystery, Sci-Fi, Thriller",Alex Garland,Alex Garland,"Domhnall Gleeson, Alicia Vikander, Oscar Isaac, Sonoya Mizuno",A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.,English,UK,Won 1 Oscar. Another 70 wins & 153 nominations.,https://m.media-amazon.com/images/M/MV5BMTUxNzc0OTIxMV5BMl5BanBnXkFtZTgwNDI3NzU2NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.7,"412,848",tt0470752,movie,14 Jul 2015,"$19,012,798",A24 Films,http://meet-ava.com/,True
14,The Summer of Sangaile,2015,NOT RATED,29 Jul 2015,90 min,"Drama, Romance",Alante Kavaite,Alante Kavaite,"Julija Steponaityte, Aiste Dirziute, Jurate Sodyte, Martynas Budraitis",17 years old Sangaile is fascinated by stunt planes. She meets a girl her age at a summer aeronautical show. Sangaile allows Auste to discover her most intimate secret and in the process finds the only person that truly encourages her to fly.,Lithuanian,"Lithuania, France, Netherlands",8 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BMTA2MTUzNjQ1NTBeQTJeQWpwZ15BbWU4MDE4MTc4MDcx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.3,"2,113",tt2994832,movie,N/A,N/A,Fralita Films,http://www.filmsdistribution.com/Film.aspx?ID=4588,True
15,Against the Sun,2014,PG,23 Jan 2015,100 min,"Adventure, Biography, Drama, War",Brian Falk,"Brian Falk, Mark David Keegan","Garret Dillahunt, Tom Felton, Jake Abel, Nadia Parra","A WWII pilot, bombardier, and radioman find themselves adrift on a lifeboat without food or water after being forced to ditch their plane during a scouting mission.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTk5MjU0NTg3Nl5BMl5BanBnXkFtZTgwNTI3NTUzMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.5,"4,675",tt2557276,movie,04 May 2015,N/A,The American Film Company,http://www.againstthesun.com,True
16,Black Sea,2014,R,23 Jan 2015,114 min,"Adventure, Drama, Thriller",Kevin Macdonald,Dennis Kelly (screenplay by),"Jude Law, Karl Davies, Llewella Gideon, Jodie Whittaker","In order to make good with his former employers, a submarine captain takes a job with a shadowy backer to search the depths of the Black Sea for a submarine rumored to be loaded with gold.","English, Russian","UK, USA, Russia",N/A,"https://m.media-amazon.com/images/M/MV5BMjMyNzI1ODA3OF5BMl5BanBnXkFtZTgwMTI5OTczMzE@._V1._CR54,54,1274,1940_SX89_AL_.jpg_V1_SX300.jpg","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.4,"31,363",tt2261331,movie,05 May 2015,N/A,Focus Features,http://www.blackseafilm.com,True
17,The Boy Next Door,2015,R,23 Jan 2015,91 min,"Drama, Horror, Romance, Thriller",Rob Cohen,Barbara Curry,"Jennifer Lopez, Ryan Guzman, Ian Nelson, John Corbett","A woman, separated from her unfaithful husband, falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.",English,USA,1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTgxNTEyMTYzOV5BMl5BanBnXkFtZTgwNzQ4OTg5MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,4.7,"34,253",tt3181822,movie,28 Apr 2015,N/A,Universal Pictures,http://www.theboynextdoorfilm.com/,True
18,Cake,2014,R,23 Jan 2015,102 min,Drama,Daniel Barnz,Patrick Tobin (screenplay),"Jennifer Aniston, Adriana Barraza, Anna Kendrick, Sam Worthington","Claire becomes fascinated by the suicide of a woman in her chronic pain support group while grappling with her own, very raw personal tragedy.","English, Spanish",USA,Nominated for 1 Golden Globe. Another 5 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BMmE2ZTQ5NTUtMzM2NS00YTIxLWEyMDQtMjBiMGNmODgwN2U5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.4,"32,766",tt3442006,movie,21 Apr 2015,"$1,319,947",Cinelou Films,http://cakemovie.net/,True
19,The D Train,2015,R,08 May 2015,101 min,"Comedy, Drama","Andrew Mogel, Jarrad Paul","Jarrad Paul, Andrew Mogel","Jack Black, James Marsden, Kathryn Hahn, Jeffrey Tambor",The head of a high school reunion committee tries to get the most popular guy in school to attend their class' upcoming 20-year reunion.,English,"UK, USA",1 nomination.,https://m.media-amazon.com/images/M/MV5BMTQ3ODQzNDE2Ml5BMl5BanBnXkFtZTgwOTM1NzQwNTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}]",N/A,5.0,"9,949",tt2690138,movie,01 Sep 2015,N/A,IFC Films,http://www.d-trainmovie.com/,True
20,The End of the Tour,2015,R,12 Nov 2015,106 min,"Biography, Drama",James Ponsoldt,"Donald Margulies (screenplay), David Lipsky (book)","Anna Chlumsky, Joan Cusack, Jesse Eisenberg, Jason Segel","The story of the five-day interview between Rolling Stone reporter David Lipsky and acclaimed novelist David Foster Wallace, which took place right after the 1996 publication of Wallace's groundbreaking epic novel, 'Infinite Jest.'",English,USA,4 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BMTUwODU3NjQxNF5BMl5BanBnXkFtZTgwODE2NTE4NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.3,"25,188",tt3416744,movie,03 Nov 2015,N/A,A24 Films,http://a24films.com/films/the-end-of-the-tour/,True
21,Knock Knock,2015,R,09 Oct 2015,99 min,"Drama, Thriller",Eli Roth,"Eli Roth (screenplay), Nicolás López (screenplay), Guillermo Amoedo (screenplay), Anthony Overman (story), Michael Ronald Ross (story)","Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.","English, Spanish","USA, Chile",N/A,https://m.media-amazon.com/images/M/MV5BZTA0Nzg2NGUtNDc1NS00Y2FhLTliYWUtOGM0ZWM0OTI3MDBjXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,4.9,"66,653",tt3605418,movie,08 Dec 2015,"$285,363",Lionsgate Premiere,http://knockknockthemovie.com,True
22,Mommy,2014,R,08 Oct 2014,139 min,Drama,Xavier Dolan,Xavier Dolan (screenplay),"Anne Dorval, Suzanne Clément, Antoine Olivier Pilon, Patrick Huard","A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.","French, English",Canada,49 wins & 59 nominations.,https://m.media-amazon.com/images/M/MV5BMGI3YWFmNDQtNjc0Ny00ZDBjLThlNjYtZTc1ZTk5MzU2YTVjXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,8.1,"41,740",tt3612616,movie,28 Apr 2015,N/A,Lionsgate,http://mommythemovie.com/,True
23,Mortdecai,2015,R,23 Jan 2015,107 min,"Action, Comedy, Crime, Mystery, Romance",David Koepp,"Eric Aronson (screenplay), Kyril Bonfiglioli (novel)","Johnny Depp, Gwyneth Paltrow, Paul Bettany, Ewan McGregor","Juggling angry Russians, the British Mi5, and an international terrorist, debonair art dealer and part-time rogue Charlie Mortdecai races to recover a stolen painting rumored to contain a code that leads to lost gold.",English,"UK, USA",1 win & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMjM3NDcxOTM5Ml5BMl5BanBnXkFtZTgwNTEwNzE0MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",27,5.5,"60,213",tt3045616,movie,12 May 2015,"$6,847,536",Liongate Films,http://mortdecaithemovie.com/,True
24,Red Army,2014,PG,29 Jan 2015,84 min,"Documentary, Biography, History, Sport",Gabe Polsky,Gabe Polsky,"Scotty Bowman, Herb Brooks, Don Cherry, Mark Deakins",The story of the Soviet Union's famed Red Army hockey team through the eyes of its players.,"English, Russian","USA, Russia",4 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMjIxMDYwMTg3M15BMl5BanBnXkFtZTgwMDQ1NzQ0MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.6,"6,011",tt3264102,movie,09 Jun 2015,"$694,600",Sony Pictures Classics,http://sonyclassics.com/redarmy/,True
25,Strange Magic,2015,PG,23 Jan 2015,99 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",Gary Rydstrom,"David Berenbaum (screenplay by), Irene Mecchi (screenplay by), Gary Rydstrom (screenplay by), George Lucas (story by)","Alan Cumming, Evan Rachel Wood, Elijah Kelley, Meredith Anne Bull","Goblins, elves, fairies and imps, and their misadventures sparked by the battle over a powerful potion.",English,USA,1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMjA0NjU3MTU5OF5BMl5BanBnXkFtZTgwMTYyMDQ3MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25,5.8,"9,140",tt4191054,movie,19 May 2015,"$10,201,634",Walt Disney Pictures,http://www.facebook.com/StrangeMagicMovie,True
26,Tangerine,2015,R,10 Jul 2015,88 min,"Comedy, Crime, Drama",Sean Baker,"Sean Baker, Chris Bergoch","Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian, Mickey O'Hagan",A hooker tears through Tinseltown on Christmas Eve searching for the pimp who broke her heart.,"English, Armenian",USA,24 wins & 38 nominations.,https://m.media-amazon.com/images/M/MV5BMjEzNzY2NjYwOV5BMl5BanBnXkFtZTgwOTY1MDU1NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,7.1,"22,285",tt3824458,movie,10 Nov 2015,N/A,Magnolia Pictures,http://www.magpictures.com/tangerine/,True
27,Thottal Thodarum,2015,N/A,23 Jan 2015,N/A,N/A,Cable Sankar,Cable Sankar,"Arundhathi, Vincent Ashokan, Thaman Kumar, Soodhu Kavvum Sivakumar","Shiva and Gautam are buddies and HR professionals in the same firm. Gautam's insatiable thirst for wooing women, leads him to abuse a bank marketing call that Shiva receives. Madhu, a ...",Tamil,India,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,16,tt4384342,movie,N/A,N/A,N/A,N/A,True
28,A Walk in the Woods,2015,R,02 Sep 2015,104 min,"Adventure, Biography, Comedy, Drama",Ken Kwapis,"Michael Arndt (screenplay), Bill Holderman (screenplay), Bill Bryson (book)","Robert Redford, Nick Nolte, Emma Thompson, Mary Steenburgen","After spending two decades in England, Bill Bryson returns to the U.S., where he decides the best way to connect with his homeland is to hike the Appalachian Trail with one of his oldest friends.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTU2MTkwMzM0NF5BMl5BanBnXkFtZTgwMjA0NDA4NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.3,"21,607",tt1178665,movie,29 Dec 2015,"$19,189,413",Broad Green Pictures,http://www.WalkInTheWoodsMovie.com,True
29,The Diary of a Teenage Girl,2015,R,28 Aug 2015,102 min,"Comedy, Drama, Romance",Marielle Heller,"Phoebe Gloeckner (novel), Marielle Heller (screenplay)","Bel Powley, Willie, Kristen Wiig, Abby Wait",A teen artist living in 1970s San Francisco enters into an affair with her mother's boyfriend.,English,USA,16 wins & 35 nominations.,https://m.media-amazon.com/images/M/MV5BMjE4MTQ3NTgwOF5BMl5BanBnXkFtZTgwMDQ3NTc5NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,6.9,"26,378",tt3172532,movie,19 Jan 2016,N/A,Sony Pictures Classics,http://sonyclassics.com/thediaryofateenagegirl/,True
30,Dope,2015,R,19 Jun 2015,103 min,"Comedy, Crime, Drama",Rick Famuyiwa,Rick Famuyiwa,"ASAP Rocky, Blake Anderson, Bruce Beatty, De'aundre Bonds","Life changes for Malcolm, a geek who's surviving life in a tough neighborhood, after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure.","English, Spanish",USA,6 wins & 23 nominations.,https://m.media-amazon.com/images/M/MV5BMjA3MjYyNTk0Nl5BMl5BanBnXkFtZTgwODc1NzQ1NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.2,"75,600",tt3850214,movie,13 Oct 2015,"$11,674,449",Open Road Films,http://www.youaredope.com/,True
31,Mississippi Grind,2015,R,13 Aug 2015,108 min,"Comedy, Drama","Anna Boden, Ryan Fleck","Anna Boden, Ryan Fleck","Ben Mendelsohn, Yvonne Landry, Anthony Howard, Ryan Reynolds","Down on his luck and facing financial hardship, Gerry teams up with younger charismatic poker player, Curtis, in an attempt to change his luck. The two set off on a road trip through the South with visions of winning back what's been lost.",English,USA,2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMjE3NTE3NzY2MV5BMl5BanBnXkFtZTgwNTY3NDIzNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,6.4,"16,645",tt2349144,movie,01 Dec 2015,"$129,747",A24 and DIRECTV,N/A,True
32,Mistress America,2015,R,04 Sep 2015,84 min,"Comedy, Drama",Noah Baumbach,"Noah Baumbach, Greta Gerwig","Lola Kirke, Shana Dowdeswell, Shelby Rebecca Wong, Alfred Macadam","A lonely college freshman's life is turned upside-down by her impetuous, adventurous stepsister-to-be.",English,"USA, Brazil",2 wins & 13 nominations.,https://m.media-amazon.com/images/M/MV5BMjEzNzgzNDgzNV5BMl5BanBnXkFtZTgwODcyMjk4NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,6.7,"22,072",tt2872462,movie,N/A,N/A,Fox Searchlight Pictures,http://www.mistressamericathemovie.com/,True
33,Shaun the Sheep Movie,2015,PG,05 Aug 2015,85 min,"Animation, Adventure, Comedy, Family, Fantasy","Mark Burton, Richard Starzak","Mark Burton, Richard Starzak, Nick Park (characters created by)","Justin Fletcher, John Sparkes, Omid Djalili, Richard Webber","When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.",None,"UK, France",Nominated for 1 Oscar. Another 4 wins & 48 nominations.,https://m.media-amazon.com/images/M/MV5BOTc1ODY5MTQ1Nl5BMl5BanBnXkFtZTgwMDM5ODI1NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.4,"32,269",tt2872750,movie,24 Nov 2015,N/A,Lionsgate,http://shaunthesheep.com/movie,True
